Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method,Order_Status
ORD-10491,2023-01-01,CUST-0021,Gaurav Saxena,Male,27,Bhopal,Madhya Pradesh,Levi's 511 Slim Fit Denim,Fashion,3,2899.0,25.0,6522.75,2065.54,Credit Card,Delivered
ORD-10645,2023-01-01,CUST-0029,Harish Hegde,Male,40,Mysuru,Karnataka,Ikigai: Japanese Secret to a Long Happy Life,Books & Stationery,3,350.0,5.0,997.5,385.7,UPI,Delivered
ORD-10341,2023-01-02,CUST-0004,Ananya Iyer,Female,29,Chennai,Tamil Nadu,OnePlus Nord CE 3 Lite 5G,Electronics,1,18499.0,10.0,16649.1,-998.95,Cash on Delivery,Returned
ORD-10032,2023-01-03,CUST-0036,Kajal Tripathi,Female,28,Varanasi,Uttar Pradesh,Forest Essentials Soundarya Face Cream,Beauty & Personal Care,2,2850.0,10.0,5130.0,2298.24,UPI,Delivered
ORD-10048,2023-01-03,CUST-0078,Suraj Patil,Male,30,Jaipur,Rajasthan,Kent Grand Plus RO Water Purifier,Home & Kitchen,1,15499.0,15.0,13174.15,2845.62,Credit Card,Delivered
ORD-10078,2023-01-03,CUST-0020,Meera Nambiar,Female,39,Thiruvananthapuram,Kerala,Dyson V8 Absolute Cordless Vacuum,Home & Kitchen,2,31900.0,15.0,54230.0,10249.47,UPI,Delivered
ORD-10184,2023-01-06,CUST-0034,Preeti Dubey,Female,26,Lucknow,Uttar Pradesh,Boldfit Anti-Tear NBR Yoga Mat,Sports & Fitness,1,999.0,10.0,899.1,352.45,UPI,Delivered
ORD-10223,2023-01-07,CUST-0074,Harshit Chopra,Male,27,Ludhiana,Punjab,L'Oreal Paris Extraordinary Oil Serum,Beauty & Personal Care,3,649.0,0.0,1947.0,817.74,UPI,Delivered
ORD-10481,2023-01-08,CUST-0023,Rajesh Pillai,Male,48,Coimbatore,Tamil Nadu,Nivia Storm Football Size 5,Sports & Fitness,1,699.0,0.0,699.0,279.6,UPI,Delivered
ORD-10310,2023-01-10,CUST-0082,Harshit Kaur,Male,55,New Delhi,Delhi,Philips Digital Air Fryer HD9252,Home & Kitchen,2,8499.0,10.0,15298.2,3569.58,Debit Card,Pending
ORD-10526,2023-01-10,CUST-0045,Mohit Suri,Male,25,Noida,Uttar Pradesh,Philips All-in-One Trimmer MG7715,Beauty & Personal Care,1,3295.0,25.0,2471.25,659.0,UPI,Delivered
ORD-10357,2023-01-13,CUST-0081,Radhika Singhania,Female,54,Gurugram,Haryana,Ikigai: Japanese Secret to a Long Happy Life,Books & Stationery,2,350.0,25.0,525.0,175.0,UPI,Delivered
ORD-10573,2023-01-15,CUST-0122,Alok Rastogi,Male,35,New Delhi,Delhi,Kent Grand Plus RO Water Purifier,Home & Kitchen,1,15499.0,5.0,14724.05,3415.98,UPI,Delivered
ORD-10659,2023-01-15,CUST-0009,Aditya Joshi,Male,33,Pune,Maharashtra,Atomic Habits by James Clear,Books & Stationery,2,499.0,15.0,848.3,274.85,Credit Card,Delivered
ORD-10206,2023-01-17,CUST-0082,Harshit Kaur,Male,55,New Delhi,Delhi,Nike Air Max 270 Sneakers,Fashion,1,8995.0,15.0,7645.75,2201.98,Credit Card,Delivered
ORD-10692,2023-01-17,CUST-0006,Sneha Reddy,Female,27,Hyderabad,Telangana,Minimalist 10% Niacinamide Serum,Beauty & Personal Care,1,599.0,0.0,599.0,0.0,Debit Card,Cancelled
ORD-10127,2023-01-20,CUST-0003,Rahul Verma,Male,24,Bengaluru,Karnataka,Dyson V8 Absolute Cordless Vacuum,Home & Kitchen,1,31900.0,15.0,27115.0,-1626.9,Credit Card,Returned
ORD-10326,2023-01-20,CUST-0076,Mayank Rastogi,Male,36,Jaipur,Rajasthan,Maybelline Superstay Matte Ink Lipstick,Beauty & Personal Care,1,499.0,15.0,424.15,171.78,UPI,Pending
ORD-10390,2023-01-20,CUST-0137,Chetan Patil,Male,57,Thiruvananthapuram,Kerala,Nike Air Max 270 Sneakers,Fashion,2,8995.0,0.0,17990.0,5756.8,UPI,Delivered
ORD-10062,2023-01-23,CUST-0123,Rhea Trivedi,Female,41,Gurugram,Haryana,Moleskine Classic Hard Cover Ruled Journal,Books & Stationery,1,1799.0,15.0,1529.15,0.0,Debit Card,Cancelled
ORD-10334,2023-01-23,CUST-0093,Aryan Mittal,Male,54,Noida,Uttar Pradesh,Ray-Ban Aviator Polarized Sunglasses,Fashion,2,7490.0,0.0,14980.0,6291.6,Cash on Delivery,Pending
